C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_246.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_246.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_246.jpg, 0, 0, 0, 7.832654E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_350.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_350.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_350.jpg, 0, 0, 0, 7.804363E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_451.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_451.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_451.jpg, 0, 0, 0, 7.898763E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_555.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_555.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_555.jpg, 0, 0, 0, 8.093808E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_656.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_656.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_656.jpg, 0, 0, 0, 7.970458E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_758.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_758.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_758.jpg, 0, 0, 0, 7.911292E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_861.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_861.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_861.jpg, 0, 0, 0, 7.951601E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_26_964.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_26_964.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_26_964.jpg, 0, 0, 0, 7.78059E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_27_065.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_27_065.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_27_065.jpg, 0, 0, 0, 8.214363E-05
C:\Autonomous_Study\Data\IMG\center_2024_04_04_06_19_27_168.jpg, C:\Autonomous_Study\Data\IMG\left_2024_04_04_06_19_27_168.jpg, C:\Autonomous_Study\Data\IMG\right_2024_04_04_06_19_27_168.jpg, 0, 0, 0, 7.802382E-05
